nofish,livebait,camper,persons,child,xb,zg,count
0,1,1,3,0,2.719,2.629,15
1,0,1,1,0,-1.269,4.18,0
0,1,1,1,0,-1.088,2.123,0
0,1,1,1,0,-0.985,1.352,0
1,1,1,4,1,1.872,1.261,5
1,1,1,1,0,1.548,1.629,4
0,1,0,2,0,1.004,1.084,2
0,1,1,2,1,-0.165,2.095,0
0,1,0,2,1,1.472,-0.073,2
0,1,1,4,0,3.489,2.548,32
0,1,0,4,3,1.886,-4.233,0
0,1,1,1,0,-2.273,1.601,0
0,1,0,1,0,0.614,1.112,1
1,1,0,3,2,2.879,-2.766,0
1,1,1,1,0,-0.945,2.012,0
0,1,1,2,1,0.82,-1.285,0
0,1,1,3,0,2.088,2.269,7
0,1,0,4,3,2.165,-5.035,0
1,0,0,4,2,0.558,-2.697,0
0,1,1,3,2,-0.628,-3.224,0
1,0,1,1,0,-3.275,0.913,0
0,1,0,2,0,0.307,-0.431,0
0,1,0,3,2,0.459,-3.14,0
1,1,1,1,0,-0.188,3.267,0
0,1,0,2,1,-0.197,-0.238,0
0,1,0,4,0,0.901,1.394,2
0,1,1,4,1,2.23,-0.41,3
1,1,0,2,1,1.15,-0.32,1
0,1,1,3,0,1.717,2.654,5
0,1,0,1,0,-0.466,0.246,0
0,1,1,1,0,1.02,1.719,2
1,0,0,3,1,1.867,-0.548,1
1,0,0,4,1,0.714,-2.551,0
1,1,1,1,0,0.044,2.263,1
0,1,1,4,0,5.005,3.572,149
0,1,1,3,2,2.462,-2.77,0
0,1,1,3,1,1.57,-0.391,1
0,1,0,2,0,-1.491,0.089,0
0,1,1,3,0,-0.865,0.972,0
0,1,0,2,1,0.834,0.023,1
0,1,0,4,2,2.208,-1.734,0
0,1,1,3,1,1.633,-1.501,0
0,1,0,4,2,1.524,-4.324,0
1,0,0,4,0,2.491,-0.722,2
0,1,1,2,0,1.085,2.963,2
0,1,0,4,0,3.595,0.86,29
0,1,1,1,0,1.129,2.061,3
1,0,1,2,0,-0.386,2.266,0
0,1,0,4,2,2.214,-2.068,0
1,0,0,3,0,2.519,-0.111,5
0,1,1,2,0,0.012,-0.339,0
0,1,0,4,1,3.299,-2.671,0
0,1,1,1,0,-0.258,0.715,0
0,1,0,3,1,0.931,-1.925,0
0,1,1,4,1,3.234,-1.934,0
0,1,1,4,1,0.567,1.361,1
0,1,1,1,0,1.974,3.178,7
0,1,1,2,0,0.11,2.124,1
0,1,0,1,0,-1.052,-1.838,0
1,0,0,4,1,1.193,0.733,2
0,1,0,3,2,0.352,-2.184,0
1,1,0,2,0,1.18,1.294,2
0,1,0,2,1,0.442,-0.253,0
0,1,0,4,1,0.34,-0.768,0
1,0,1,3,1,0.368,-0.848,0
1,1,1,3,2,2.431,-0.945,1
0,1,0,2,1,-0.267,-1.62,0
1,1,0,1,0,-0.367,2.515,0
1,0,1,4,3,1.482,-2.821,0
0,1,0,1,0,-0.621,0.583,0
1,0,1,4,3,1.594,-2.947,0
0,1,0,4,1,2.824,-0.742,3
0,1,1,1,0,1.488,2.265,4
0,1,1,3,0,1.139,3.449,3
0,1,0,2,0,1.416,1.297,3
0,1,1,4,0,2.172,4.263,8
1,0,1,3,0,0.818,3.059,2
1,1,1,1,0,0.333,2.046,1
0,1,0,4,0,1.857,2.517,6
1,1,1,4,2,0.594,-1.977,0
0,1,1,2,1,0.062,1.27,0
1,1,0,4,0,1.985,0.825,5
0,1,1,4,1,1.964,0.032,3
0,1,0,3,1,3.726,0.702,31
0,1,1,2,1,0.349,-0.161,0
0,1,0,2,0,0.704,2.345,2
1,1,1,4,3,1.569,-4.469,0
0,1,1,2,1,0.781,-1.89,0
1,0,0,3,0,0.14,0.339,0
0,1,1,3,1,1.542,-1.531,0
1,1,0,1,0,0.072,1.306,0
0,1,0,2,0,0.747,-0.651,0
1,1,1,4,0,1.925,3.567,6
0,1,0,3,0,2.214,2.692,9
1,0,1,3,2,-0.6,-2.06,0
1,0,1,2,1,-2.107,0.141,0
0,1,1,1,0,-2.49,2.074,0
0,1,1,2,1,-0.07,-0.478,0
0,1,0,1,0,-0.234,0.153,0
0,1,0,2,0,2.149,-0.489,2
0,1,0,3,0,3.174,0.378,15
0,1,1,1,0,0.677,1.624,1
1,1,1,2,0,0.903,2.015,2
0,1,1,3,1,2.121,-0.092,3
1,1,1,1,0,-1.681,2.277,0
0,1,1,4,0,4.268,1.362,65
0,1,1,3,0,1.76,1.478,5
0,1,0,1,0,0.007,0.185,0
1,1,1,3,2,3.534,-3.253,0
0,1,0,4,1,1.903,-1.59,0
0,1,0,4,2,2.054,-3.139,0
1,1,0,1,0,0.132,2.244,1
0,1,1,4,1,2.845,-0.078,8
0,1,1,3,0,-0.15,2.496,0
0,1,1,3,2,0.378,-2.294,0
0,1,1,4,3,1.461,-3.943,0
0,1,1,3,0,0.952,2.606,2
0,1,1,2,1,1.531,1.537,4
1,1,0,4,0,1.716,1.827,5
0,1,0,2,0,2.242,2.399,9
0,1,0,4,2,3.389,-2.893,0
0,1,0,2,0,-0.457,3.179,0
0,1,1,2,0,-0.264,1.761,0
0,1,0,1,0,-0.712,1.177,0
1,1,1,2,0,3.054,2.469,21
0,1,0,1,0,-2.708,0.347,0
0,1,1,3,0,1.872,2.308,6
0,1,0,2,1,0.17,-0.835,0
1,0,1,2,0,-0.349,2.941,0
0,1,1,2,1,0.24,-0.403,0
1,1,0,3,1,2.404,-1.569,0
0,1,1,4,1,2.989,0.95,16
1,0,0,3,2,0.005,-3.463,0
0,1,1,3,2,0.401,-1.719,0
1,1,1,4,0,1.592,3.472,4
0,1,1,2,1,1.023,0.599,2
0,1,1,3,0,2.377,2.579,10
1,0,1,1,0,-2.113,1.63,0
0,1,1,1,0,-0.558,1.938,0
1,0,0,1,0,-1.276,0.146,0
1,0,1,2,0,1.061,2.973,2
1,1,1,2,0,0.41,1.288,1
0,1,0,1,0,1.473,1.002,3
0,1,1,3,1,1.122,-1.015,0
0,1,1,4,2,2.242,-2.386,0
0,1,1,2,0,3.164,1.297,21
0,1,0,2,1,-0.585,-2.079,0
0,1,0,2,0,-0.016,2.299,0
1,0,1,1,0,0.834,2.206,2
1,0,1,2,1,-1.269,1.571,0
0,1,1,4,1,2.757,-0.867,3
0,1,1,3,1,1.704,-1.155,0
0,1,1,4,0,3.765,1.189,38
1,1,1,4,3,2.719,-4.614,0
0,1,1,1,0,-0.154,2.465,0
0,1,0,1,0,-0.412,0.257,0
0,1,1,1,0,0.531,2.929,1
0,1,0,1,0,1.34,3.566,3
0,1,1,1,0,-1.562,1.407,0
0,1,0,2,0,0.225,2.221,1
1,1,0,4,2,4.503,-4.73,0
1,0,0,2,1,0.162,-1.126,0
0,1,0,4,2,3.047,-3.184,0
0,1,0,3,1,1.631,-2.708,0
0,1,1,4,2,1.983,0.574,5
0,1,0,4,2,3.877,-2.18,0
1,0,0,4,1,1.585,-1.29,0
0,1,0,3,0,1.701,0.005,2
1,1,1,2,1,-0.171,1.47,0
0,1,1,1,0,-0.497,0.958,0
0,1,0,2,1,1.218,-0.664,0
0,1,1,2,0,0.038,2.862,1
1,1,1,3,1,1.523,3.04,4
1,1,0,1,0,-0.908,0.611,0
0,1,1,3,2,2.331,-2.356,0
0,1,1,2,1,1.068,1.375,2
0,1,1,1,0,1.401,2.141,3
1,1,0,4,2,3.93,-2.744,0
0,1,0,3,1,0.196,-1.781,0
0,1,0,2,0,0.03,1.002,0
1,0,0,2,0,-0.767,-0.442,0
0,1,1,1,0,0.661,3.241,1
0,1,1,2,0,1.015,0.949,2
0,1,1,1,0,-1.047,0.761,0
0,1,1,3,0,1.938,2.159,6
0,1,1,2,0,1.725,0.928,4
0,1,1,2,0,0.603,3.572,1
0,1,1,4,2,2.414,-1.316,1
1,0,0,2,0,-1.201,1.058,0
0,1,1,3,1,1.964,-0.733,1
0,1,0,3,0,-0.291,1.316,0
1,1,1,2,0,-0.755,2.324,0
0,1,1,4,3,1.795,-5.626,0
0,1,1,2,1,-0.393,0.677,0
1,1,1,3,2,1.375,-2.596,0
1,1,1,2,1,0.829,-1.457,0
